distance,rpm,tof
1.15,2128.90625,0.4782962772151155
1.2,2128.90625,0.49948829557846514
1.25,2128.90625,0.5207055147014588
1.3,2128.90625,0.5419479000096898
1.35,2128.90625,0.5632156272019212
1.4,2128.90625,0.584509049710549
1.45,2156.25,0.5982679545447819
1.5,2156.25,0.6193509268314212
1.55,2169.921875,0.6364927553486103
1.6,2183.59375,0.6534535869806922
1.65,2197.265625,0.6702371249074512
1.7,2210.9375,0.6868469919990202
1.75,2238.28125,0.6990679143004515
1.8,2238.28125,0.7195597788584812
1.85,2265.625,0.7313113121991216
1.9,2279.296875,0.7471938056995688
1.95,2292.96875,0.7629210561516778
2.0,2320.3125,0.7739956102989046
2.05,2333.984375,0.7893594874944103
2.1,2347.65625,0.804578523025466
2.15,2361.328125,0.8196555262915997
2.2,2388.671875,0.8299085287568623
2.25,2402.34375,0.8446534868413981
2.3,2416.015625,0.8592656453988821
2.35,2443.359375,0.8689540839770549
2.4,2457.03125,0.8832560309930083
2.45,2470.703125,0.8974336159631003
2.5,2498.046875,0.9065989863205691
2.55,2511.71875,0.9204862590926954
2.6,2532.2265625,0.9317849352464215
2.65,2552.734375,0.9429368730864898
2.7,2566.40625,0.9564353992163118
2.75,2593.75,0.9648148997414732
2.8,2607.421875,0.9780532883998415
2.85,2621.09375,0.9911867978859886
2.9,2648.4375,0.999137420108219
2.95,2662.109375,1.012026476908376
3.0,2682.6171875,1.0222580179028034
3.05,2703.125,1.0323679435952209
3.1,2716.796875,1.0449282052967364
3.15,2737.3046875,1.054807961360004
3.2,2757.8125,1.0645740134650843
3.25,2771.484375,1.076824418745364
3.3,2791.9921875,1.0863743328305766
3.35,2812.5,1.095817801373177
3.4,2826.171875,1.107775835301225
3.45,2846.6796875,1.1170161013204163
3.5,2867.1875,1.1261566463718071
3.55,2880.859375,1.1378384736450786
3.6,2901.3671875,1.1467877691367823
3.65,2921.875,1.1556435094998043
3.7,2935.546875,1.1670641108404547
3.75,2956.0546875,1.1757396725548028
3.8,2976.5625,1.1843273841442756
3.85,2990.234375,1.1955007023052298
3.9,3010.7421875,1.2039184690448435
3.95,3031.25,1.2122537025881825
4.0,3044.921875,1.2231926644958533
4.05,3065.4296875,1.2313674819105824
4.1,3085.9375,1.2394646480183202
4.15,3099.609375,1.2501813109209257
4.2,3120.1171875,1.2581269080521802
4.25,3140.625,1.2659994082494543
4.3,3154.296875,1.2765050505468296
4.35,3174.8046875,1.2842342269971299
4.4,3195.3125,1.291894546556854
4.45,3208.984375,1.3021996389930532
4.5,3229.4921875,1.3097243221935468
4.55,3243.1640625,1.3199047014189496
4.6,3263.671875,1.3272984739448264
4.65,3277.34375,1.3373581011746238
4.7,3297.8515625,1.3446254751102167
4.75,3318.359375,1.3518327074486056
4.8,3332.03125,1.3617134357230802
4.85,3352.5390625,1.3688008551230677
4.9,3366.2109375,1.3785701496873024
4.95,3386.71875,1.385541817796566
5.0,3400.390625,1.3952030715875856
5.05,3420.8984375,1.4020628715516061
5.1,3441.40625,1.4088700080736543
5.15,3455.078125,1.4183710825298308
5.2,3475.5859375,1.4250720003295023
5.25,3489.2578125,1.434473147851532
5.3,3509.765625,1.4410713730221116
5.35,3523.4375,1.4503755558109963
5.4,3543.9453125,1.4568744659365984
5.45,3557.6171875,1.4660845263253983
5.5,3578.125,1.4724873817692135
5.55,3591.796875,1.4816060917749172
5.6,3612.3046875,1.487915953379567
5.65,3625.9765625,1.496945962957519
5.7,3646.484375,1.5031658766416136
5.75,3660.15625,1.5121097438821205
5.8,3680.6640625,1.5182425702937057
5.85,3701.171875,1.5243353827297323
5.9,3714.84375,1.53315126793249
5.95,3728.515625,1.5419301655342659
6.0,3749.0234375,1.5478970315410814
6.05,3762.6953125,1.5565969524070753
6.1,3783.203125,1.5624847473990657
6.15,3796.875,1.5711078634594922
6.2,3817.3828125,1.5769190649546707
6.25,3831.0546875,1.5854675769667192
6.3,3851.5625,1.5912045710994773
6.35,3865.234375,1.5996805087155723
6.4,3885.7421875,1.6053456138692601
6.45,3899.4140625,1.613750981144358
6.5,3919.921875,1.6193464131387614
6.55,3933.59375,1.627683157354122
6.6,3954.1015625,1.6332110482885165
6.65,3967.7734375,1.6414810481016604
6.7,3988.28125,1.6469434609886362
